Subdiv,Block,Unit,Shape_Leng,Shape_Area
Forest Green,20,1,1889.14858532,68561.4382251
Forest Green,21,1,1685.72183804,61430.3643176
Forest Green,14,1,5065.96947367,199743.735972
Forest Green,23,1,5204.21347891,113938.320872
Forest Green,3,1,3792.90076563,125069.193881
Forest Green,3,2,1453.90093435,72366.0918089
Forest Green,3,3,1882.99977325,69573.7004681
Forest Green,3,4,2174.81223554,119093.868319
Forest Green,3,6,1846.05606577,69744.440022
Forest Green,3,7,4234.46511256,96024.6275623
Forest Green,4,1,2331.84941838,63950.8546746
Forest Green,4,3,4190.47915151,130908.763263
Forest Green,4,4,1483.38327898,77210.1193747
Forest Green,4,6,1203.19362906,41410.176024
Forest Green,4,7,1059.48850346,38142.8595372
Forest Green,5,2,1171.35842499,54913.361058
Forest Green,5,3,1593.31761374,88313.4213464
Forest Green,5,4,3169.28624016,87914.7262046
Forest Green,5,6,1295.86328001,48774.5437349
Forest Green,5,7,1038.5392697,37237.5898068
Forest Green,6,1,665.83886019,20605.5269839
Forest Green,6,2,1234.70672267,61612.0671534
Forest Green,6,3,2099.91912088,114715.497016
Forest Green,6,6,608.400074524,17819.5681199
Forest Green,6,7,1290.07365263,47594.2950273
Forest Green,6,9,2004.62109426,39925.1940831
Forest Green,7,1,1424.4782011,53590.4312704
Forest Green,7,3,3896.08362318,151538.300313
Forest Green,7,6,601.635269185,18797.2815143
Forest Green,7,8,260.572853862,3466.85408351
Forest Green,7,9,1142.41237115,38283.6742664
Forest Green,8,1,3434.19834468,124764.14433
Forest Green,8,4,671.139812017,27942.2874633
Forest Green,8,6,1774.67383286,65430.7544058
Forest Green,8,9,1107.23383969,40260.115458
Forest Green,9,1,862.176082448,27959.8123805
Forest Green,9,6,1697.37400427,31582.0073769
Forest Green,9,9,1215.31229634,42397.3310256
Fortune Bay,1,1,1888.34203791,62057.4871689
Fortune Bay,10,3,5872.67274915,126920.79783
Fortune Bay,11,3,1954.68909745,43114.7733882
Fortune Bay,12,4,939.956589662,24667.1268893
Fortune Bay,13,4,9586.97133477,220179.902619
Fortune Bay,14,4,2490.03250183,87288.8618188
Fortune Bay,15,4,1789.80804562,66047.3606916
Fortune Bay,16,4,7607.63201777,169756.899002
Fortune Bay,17,4,998.179609412,21277.6228855
Fortune Bay,18,4,888.277010984,33965.4630102
Fortune Bay,19,4,1841.58056436,77058.8181935
Fortune Bay,2,1,2748.70231015,57311.4931667
Fortune Bay,20,5,748.876608829,25607.3014979
Fortune Bay,21,5,1073.41552201,42921.3327853
Fortune Bay,22,5,724.472391402,15346.6799439
Fortune Bay,23,5,4837.71628493,101321.62273
Fortune Bay,24,5,631.032751187,21358.1728322
Fortune Bay,25,5,1197.92052819,34314.4602541
Fortune Bay,26,5,837.472664136,38286.6749276
Fortune Bay,3,1,848.218996958,16041.395976
Fortune Bay,3,3,575.770271812,19805.6622967
Fortune Bay,4,1,4922.5350365,125238.292562
Fortune Bay,5,2,1389.83108282,27979.6239544
Fortune Bay,6,2,2619.48753528,54356.446966
Fortune Bay,7,2,752.591216299,15243.6339694
Fortune Bay,8,2,1815.69300473,40502.6264307
Fortune Bay,9,3,586.880795083,11308.0257515
Fortune Beach,1,2,695.084049428,20388.7683361
Fortune Beach,3,2,6013.67314344,188687.028727
Fortune Beach,3,4,1220.30783576,32914.8425765
Fortune Beach,4,2,2914.96669135,90694.6649799
Fortune Cay,,,892.034080443,23559.0410706
Fortune Cay,,0,440.051669403,8883.71824337
