OBJECTID,AREA,BUILDIN_ID,Shape_Leng,Shape_Area
11320,0,0,44.4562423271,102.876653503
11321,0,0,62.069576063,169.272232497
11322,0,0,23.5583267063,34.3658860009
11323,0,0,50.1432082209,130.615122001
11324,0,0,54.1275498667,169.912977
11325,0,0,46.6525331306,116.9181535
11326,0,0,54.4291635837,161.836188
11327,0,0,58.1762254573,171.231167999
11328,0,0,51.6960355735,154.115592
11329,0,0,31.5635456305,58.9500579991
11330,0,0,32.378433143,63.7130840014
11331,0,0,48.2374087681,119.082549999
11332,0,0,49.9849129663,130.076851501
11333,0,0,54.0750626742,139.238925002
11334,0,0,31.3830433832,60.1185819991
11335,0,0,29.5524186842,53.7006780014
11336,0,0,47.8255081584,120.386928001
11337,0,0,67.8075705435,241.123236997
11338,0,0,29.3138288195,52.7932269999
11339,0,0,55.7467154935,185.767573002
11340,0,0,46.3760204124,112.552929002
11341,0,0,47.0001934137,115.779714498
11342,0,0,30.7716576242,52.3920169974
11343,0,0,52.3347487723,124.235208499
11344,0,0,46.3848809428,111.917330998
11345,0,0,49.269311468,125.555323998
11346,0,0,46.2355260268,113.029238502
11347,0,0,57.4151503206,166.915363504
11348,0,0,57.9655160779,164.323521
11349,0,0,60.3705439743,173.003735998
11350,0,0,39.3691794767,89.9879270013
11351,0,0,38.8652585722,89.0981649974
11352,0,0,50.7854034832,140.431369498
11353,0,0,47.5211405182,116.7990675
11354,0,0,61.503711832,167.158046998
11355,0,0,38.4101354962,86.7405455031
11356,0,0,57.0574758543,135.937654003
11357,0,0,44.3660202452,104.949584
11358,0,0,39.0454126634,94.7849585012
11359,0,0,65.4398821035,219.961475501
11360,0,0,50.7692290084,121.118095503
11361,0,0,62.395521415,169.228833501
11362,0,0,49.1899784047,120.927885503
11363,0,0,55.382022095,143.331294999
11364,0,0,48.7334252229,135.885955496
11365,0,0,50.1116323778,122.876195002
11366,0,0,53.2935962362,164.757132496
11367,0,0,49.1166505837,126.321700497
